n,time_seconds,mem_delta_MB
100,0.00446870,4.4961
200,0.04011780,5.1680
300,0.12440710,6.3164
400,0.26194020,7.4922
500,0.66499270,9.3086
600,0.95553990,11.3594
700,1.34994670,13.6484
800,2.08218190,15.7422
900,3.30898070,18.9180
1000,5.33464460,23.1055
1100,6.57735770,27.1328
1200,7.56143850,30.3477
1300,8.90854670,34.7422
1400,10.75935000,39.8516
1500,13.19486560,48.8477
1600,16.61889510,60.6797
1700,21.09208230,68.9102
1800,26.02946800,77.3164
1900,33.37004720,83.0977
2000,41.87460700,93.4648
2100,48.13607010,75.7383
2200,51.72735740,83.5117
2300,55.01651230,89.2695
2400,60.84051460,96.6680
2500,66.67108720,103.6562
2600,72.08805200,111.4531
2700,77.76113820,120.0117
2800,86.16929490,128.0820
2900,94.33152550,137.1602
3000,104.53301190,146.2266
